foul	f {O l
surprise	s @ ' p r\ Ae z
sluggish	' s l 6 g I S
grease	g r\ i: s
resume	' r\ e Z @ m {I
revenge	r\ @ ' v e n dZ
struggle	' s t r\ 6 g @ l
mistress	' m I s t r\ @ s
nondescript	' n O n d @ s k r\ I p t
aisle	Ae l
shaggy	' S { g i:
Monday	' m 6 n d {I
lout	l {O t
scrounge	s k r\ {O n dZ
steward	' s t j }: @ d
domesticate	d @ ' m e s t @ k {I t
heckle	' h e k @ l
loud	l {O d
phonetics	f @ ' n e t I k s
naughty	' n o: t i:
grade	g r\ {I d
hoop	h }: p
hoot	h }: t
hook	h U k
Buddhism	' b U d I z @ m
upwind	6 p ' w I n d
deplete	d @ ' p l i: t
hool	h }: l
ditch	d I tS
hoof	h U f
hood	h U d
speck	s p e k
ECG	i: s i: ' dZ i:
hydrant	' h Ae d r\ @ n t
acquaint	@ ' k w {I n t
scrape	s k r\ {I p
concussion	k @ N ' k 6 S @ n
interlude	' I n t @ l }: d
brainwash	' b r\ {I n w O S
draft	d r\ 6: f t
mutate	m j }: ' t {I t
escort	@ s ' k o: t
mechanism	' m e k @ n I z @ m
bouncing	' b {O n s I N
gym	dZ I m
noodle	' n }: d @ l
hadnt	' h { d @ n t
peculiar	p @ ' k j }: l j @
BBQ	' b 6: b @ k j }:
distance	' d I s t @ n s
upholstery	6 p ' h @} l s t r\ i:
fairytale	' f e: r\ i: t {I l
doona	' d }: n @
matter	' m { t @
persuade	p @ ' s w {I d
silly	' s I l i:
loiter	' l oI t @
threadbare	' T r\ e d b e:
far-fetched	f 6: ' f e tS t
palace	' p { l @ s
anus	' {I n @ s
rattle	' r\ { t @ l
modern	' m O d @ n
mind	m Ae n d
mine	m Ae n
ginger	' dZ I n dZ @
seed	s i: d
snooze	s n }: z
seen	s i: n
seem	s i: m
churn	tS 3: n
mint	m I n t
reprieve	r\ @ ' p r\ i: v
horde	h o: d
alibi	' { l @ b Ae
divulge	d @ ' v 6 l dZ
impotent	' I m p @ t @ n t
chest	tS e s t
chess	tS e s
regular	' r\ e g j @ l @
broadcast	' b r\ o: d k 6: s t
mitigate	' m I t @ g {I t
dob	d O b
alarm	@ ' l 6: m
m	e m
dog	d O g
amplify	' { m p l @ f Ae
doe	d @}
digress	d Ae ' g r\ e s
principle	' p r\ I n s @ p @ l
constrict	k @ n ' s t r\ I k t
consumer	k @ n ' s j }: m @
dot	d O t
discontent	d I s k @ n ' t e n t
ambassador	{ m ' b { s @ d @
jurisdiction	dZ }: r\ @ s ' d I k S @ n
chord	k o: d
discourteous	d I s ' k 3: t i: @ s
acquit	@ ' k w I t
divinity	d @ ' v I n @ t i:
way-out	' w {I {O t
explain	@ k ' s p l {I n
acne	' { k n i:
negligible	' n e g l @ dZ @ b @ l
cripple	' k r\ I p @ l
sugar	' S U g @
celery	' s e l @ r\ i:
remittance	r\ @ ' m I t @ n s
integrate	' I n t @ g r\ {I t
folder	' f @} l d @
hoard	h o: d
patter	' p { t @
blur	b l 3:
stop	s t O p
perceive	p @ ' s i: v
coast	k @} s t
meditate	' m e d @ t {I t
smug	s m 6 g
comply	k @ m ' p l Ae
bat	b { t
chronological	k r\ O n @ ' l O dZ I k @ l
bar	b 6:
bugbear	' b 6 g b e:
sticky	' s t I k i:
bay	b {I
illegitimate	I l @ ' dZ I t @ m @ t
bag	b { g
bad	b { d
troop	t r\ }: p
sinker	' s I N k @
ban	b { n
mayor	m e:
reference	' r\ e f r\ @ n s
imitate	' I m @ t {I t
Christianity	k r\ I s tS i: ' { n @ t i:
allure	@ ' l }: @
subject	' s 6 b dZ e k t
underarm	' 6 n d @ r\ 6: m
voyage	' v oI I dZ
said	s e d
vegie	' v e dZ i:
inappropriate	I n @ ' p r\ @} p r\ i: @ t
scrap	s k r\ { p
sail	s {I l
artificial	6: t @ ' f I S @ l
prince	p r\ I n s
tantamount	' t { n t @ m {O n t
disprove	d I s ' p r\ }: v
bleach	b l i: tS
lethargic	l @ T 6: dZ I k
C	s i:
venture	' v e n tS @
visualise	' v I Z j @ l Ae z
vitamin	' v Ae t @ m @ n
lotion	' l @} S @ n
orthodontist	o: T @ ' d O n t @ s t
beautician	b j }: ' t I S @ n
cousin	' k 6 z @ n
motto	' m O t @}
excavate	' e k s k @ v {I t
secateurs	' s e k @ t @ z
jotter	' dZ O t @
civilised	' s I v @ l Ae z d
resistant	r\ @ ' z I s t @ n t
against	@ ' g e n s t
fiancee	f i: ' O n s {I
puffin	p 6 f @ n
cartilage	' k 6: t @ l I dZ
distinction	d @ ' s t I N k S @ n
sunshine	' s 6 n S Ae n
dislocate	' d I s l @ k {I t
laryngitis	l { r\ @ n ' dZ Ae t @ s
carat	' k { r\ @ t
burble	' b 3: b @ l
coconut	' k @} k @ n 6 t
height	h Ae t
inquisitive	I N ' k w I z @ t I v
hygiene	' h Ae dZ i: n
initiative	@ ' n I S @ t I v
capsize	k { p ' s Ae z
arsenic	' 6: s @ n I k
tint	t I n t
recur	r\ @ ' k 3:
basis	' b {I s @ s
parsley	' p 6: s l i:
erect	@ ' r\ e k t
commission	k @ ' m I S @ n
detrimental	d e t r\ @ ' m e n t @ l
frisk	f r\ I s k
basic	' b {I s I k
basin	' b {I s @ n
lovely	' l 6 v l i:
idol	' Ae d @ l
threw	T r\ }:
mushroom	' m 6 S r\ }: m
suppress	s @ ' p r\ e s
dismiss	d I s ' m I s
CD	s i: ' d i:
semitrailer	s e m i: ' t r\ {I l @
decrepit	d @ ' k r\ e p @ t
aviation	{I v i: ' {I S @ n
downplay	d {O n ' p l {I
CV	s i: ' v i:
exception	@ k ' s e p S @ n
Co	' k 6 m p @ n i:
sly	s l Ae
affirm	@ ' f 3: m
tang	t { N
originate	@ ' r\ I dZ @ n {I t
ugly	' 6 g l i:
lizard	' l I z @ d
moratorium	m O r\ @ ' t o: r\ i: @ m
neat	n i: t
motorist	' m @} t @ r\ @ s t
aeroplane	' e: r\ @ p l {I n
balance	' b { l @ n s
mangle	' m { N g @ l
chauvinism	' S @} v @ n I z @ m
mousy	' m {O s i:
upgrade	6 p ' g r\ {I d
seven	' s e v @ n
cane	k {I n
metropolitan	m e t r\ @ ' p O l @ t @ n
diaphragm	' d Ae @ f r\ { m
is	I z
sulk	s 6 l k
it	I t
shame	S {I m
cant	k 6: n t
euthanasia	j }: T @ ' n {I Z @
mouse	m {O s
disappear	d I s @ ' p I@
if	I f
grown	g r\ @} n
abscess	' { b s e s
growl	g r\ {O l
sap	s { p
parish	' p { r\ I S
make	m {I k
sinusitis	s Ae n @ ' s Ae t @ s
belly	' b e l i:
contaminate	k @ n ' t { m @ n {I t
vegetable	' v e dZ t @ b @ l
warder	' w o: d @
kit	k I t
delight	d @ ' l Ae t
garlic	' g 6: l I k
kin	k I n
jealous	' dZ e l @ s
opportunity	O p @ ' t j }: n @ t i:
kid	k I d
butter	' b 6 t @
romp	r\ O m p
failing	' f {I l I N
inherit	I n ' h e r\ @ t
tombstone	' t }: m s t @} n
topical	' t O p I k @ l
virile	' v I r\ Ae l
diphthong	' d I f T O N
yours	j o: z
left	l e f t
etiquette	' e t i: k @ t
protocol	' p r\ @} t @ k O l
just	dZ 6 s t
sentence	' s e n t @ n s
presume	p r\ @ ' z j }: m
serviette	s 3: v i: ' e t
identify	Ae ' d e n t @ f Ae
human	' h j }: m @ n
yes	j e s
yet	j e t
nudge	n 6 dZ
candidate	' k { n d @ d {I t
brassiere	' b r\ { z i: @
agile	' { dZ Ae l
character	' k { r\ @ k t @
squad	s k w O d
break-in	' b r\ {I k I n
designate	' d e z I g n {I t
scatty	' s k { t i:
flatulence	' f l { tS @ l @ n s
auspicious	o: ' s p I S @ s
discreet	d @ ' s k r\ i: t
background	' b { k g r\ {O n d
hi-fi	' h Ae f Ae
dreamt	d r\ e m t
hatchback	' h { tS b { k
vanity	' v { n @ t i:
shoulder	' S @} l d @
dignity	' d I g n @ t i:
nude	n }: d
manual	' m { n j }: @ l
disillusioned	d I s @ ' l }: Z @ n d
confront	k @ n ' f r\ 6 n t
notorious	n @ ' t o: r\ i: @ s
overslept	@} v @ s l e p t
dwarf's	d w o: f s
conciliation	k @ n s I l i: ' {I S @ n
squander	' s k w O n d @
deal	d i: l
deaf	d e f
maxim	' m { k s @ m
dead	d e d
revel	' r\ e v @ l
invoice	' I n v oI s
dear	d I@
pain	p {I n
strife	s t r\ Ae f
sprawl	s p r\ o: l
dressing-table	' d r\ e s I N t {I b @ l
dense	d e n s
trace	t r\ {I s
uproar	' 6 p r\ o:
carts	k 6: t s
outspoken	' {O t s p @} k @ n
daytime	' d {I t Ae m
flounder	f l {O n d @
bamboozle	b { m ' b }: z @ l
millilitre	' m I l @ l i: t @
bold	b @} l d
burl	b 3: l
burn	b 3: n
blackmail	' b l { k m {I l
sift	s i: f t
seance	' s {I O n s
burp	b 3: p
burr	b 3:
keeper	' k i: p @
bury	' b e r\ i:
wept	w e p t
conceal	k @ n ' s i: l
phlegmatic	f l e g ' m { t I k
cliche	' k l i: S {I
afternoon	6: f t @ ' n }: n
commit	k @ ' m I t
marshal	' m 6: S @ l
gumboot	' g 6 m b }: t
tonsilitis	t O n s @ ' l Ae t @ s
nerve	n 3: v
motivate	' m @} t @ v {I t
daub	d o: b
slurp	s l 3: p
doctrine	' d O k t r\ @ n
narration	n @ ' r\ {I S @ n
chime	tS Ae m
stump	s t 6 m p
initial	@ ' n I S @ l
subdivide	' s 6 b d @ v Ae d
approximate	@ ' p r\ O k s @ m @ t
fraction	' f r\ { k S @ n
stalk	s t o: k
lurid	' l }: r\ @ d
fork	f o: k
starve	s t 6: v
undergrowth	' 6 n d @ g r\ @} T
form	f o: m
January	' dZ { n j @ r\ i:
fireworks	' f Ae @ w 3: k s
fore	f o:
ford	f o: d
failure	' f {I l j @
syndicate	' s I n d @ k @ t
synonym	' s I n @ n I m
surrender	s @ ' r\ e n d @
fort	f o: t
pavilion	p @ ' v I l j @ n
sapphire	' s { f Ae @
boomerang	' b }: m @ r\ { N
cosmos	' k O z m O s
propaganda	p r\ O p @ ' g { n d @
delete	d @ ' l i: t
diagnose	' d Ae @ g n @} z
musk	m 6 s k
shin	S I n
disciplinarian	d I s @ p l @ ' n e: r\ i: @ n
classic	' k l { s I k
Romanian	r\ @} ' m {I n i: @ n
sale	s {I l
gland	g l { n d
scrawl	s k r\ o: l
awhile	@ ' w Ae l
self-defence	s e l f d @ ' f e n s
fraternal	f r\ @ ' t 3: n @ l
graft	g r\ 6: f t
discriminate	d @ ' s k r\ I m @ n {I t
pile-up	' p Ae l 6 p
excel	@ k ' s e l
bade	b {I d
digital	' d I dZ @ t @ l
warehouse	' w e: h {O s
sling	s l I N
faction	' f { k S @ n
handicap	' h { n d i: k { p
slink	s l I N k
felt	f e l t
utilities	j }: ' t I l @ t i: z
diet	' d Ae @ t
outback	' {O t b { k
fell	f e l
reign	r\ {I n
publican	' p 6 b l I k @ n
weekend	w i: k ' e n d
billion	' b I l j @ n
outskirts	' {O t s k 3: t s
apology	@ ' p O l @ dZ i:
potato	p @ ' t {I t @}
assume	@ ' s j }: m
open-minded	' @} p @ n m Ae n d @ d
daily	' d {I l i:
smallgoods	' s m o: l g U d z
jacket	' dZ { k @ t
AMA	{I e m ' {I
teeth	t i: T
substantial	s @ b ' s t { n S @ l
meander	m i: ' { n d @
dust	d 6 s t
overdue	@} v @ ' d j }:
shop	S O p
befriend	b @ ' f r\ e n d
customary	' k 6 s t @ m r\ i:
woodwork	' w U d w 3: k
skip	s k I p
relieve	r\ @ ' l i: v
eldest	' e l d @ s t
invent	I n ' v e n t
bassinette	b { s @ ' n e t
manager	' m { n @ dZ @
mile	m Ae l
skim	s k I m
skin	s k I n
mill	m I l
milk	m I l k
resourceful	r\ @ ' z o: s f U l
suicide	' s }: @ s Ae d
depend	d @ ' p e n d
deceitful	d @ ' s i: t f U l
tariff	' t { r\ @ f
technique	t e k ' n i: k
father	' f 6: D @
amaze	@ ' m {I z
finally	' f Ae n @ l i:
appendicitis	@ p e n d @ ' s Ae t @ s
swoop	s w }: p
must	m 6 s t
shoot	S }: t
string	s t r\ I N
yeast	j i: s t
figment	' f I g m @ n t
dinghy	' d I N g i:
merit	' m e r\ @ t
uneventful	6 n @ ' v e n t f U l
jettison	' dZ e t @ s @ n
pious	' p Ae @ s
dim	d I m
biceps	' b Ae s e p s
stapler	' s t {I p l @
lozenge	' l O z @ n dZ
did	d I d
apartheid	@ ' p 6: t {I t
dig	d I g
hoil	h oI l
democrat	' d e m @ k r\ { t
hoin	h oI n
magnet	' m { g n @ t
item	' Ae t @ m
hoit	h oI t
grimace	' g r\ I m @ s
dip	d I p
round	r\ {O n d
shave	S {I v
porridge	' p O r\ I dZ
overhaul	' @} v @ h o: l
currant	' k 6 r\ @ n t
ravenous	' r\ { v @ n @ s
jackeroo	dZ { k @ ' r\ }:
sordid	' s o: d @ d
arvo	' 6: v @}
favour	' f {I v @
fillet	' f I l @ t
suspect	s @ ' s p e k t
international	I n t @ ' n { S @ n @ l
Bill	b I l
dwarf	d w o: f
wail	w {I l
bloke	b l @} k
guardian	' g 6: d i: @ n
clerk	k l 6: k
yakka	' j { k @
detest	d @ ' t e s t
tangent	' t { n dZ @ n t
ageing	' {I dZ I N
decipher	d @ ' s Ae f @
earthquake	' 3: T k w {I k
wait	w {I t
box	b O k s
boy	b oI
institute	' I n s t @ tS }: t
salvage	' s { l v I dZ
odour	' @} d @
bow	b @}
expulsion	@ k ' s p 6 l S @ n
simultaneous	s I m @ l ' t {I n i: @ s
fortress	' f o: t r\ @ s
cyst	s I s t
bob	b O b
nylon	' n Ae l O n
massage	' m { s 6: Z
bog	b O g
breathtaking	' b r\ e T t {I k I N
treasure	' t r\ e Z @
elect	@ ' l e k t
kebab	k @ ' b { b
kayak	' k Ae { k
quibble	' k w I b @ l
transplant	t r\ { n s ' p l { n t
everybody	' e v r\ i: b O d i:
Australia	@ s t r\ {I l i: @
additive	' { d @ t I v
serpent	' s 3: p @ n t
perk	p 3: k
visit	' v I z @ t
Xmas	' k r\ I s m @ s
vineyard	' v I n j @ d
somersault	' s 6 m @ s O l t
pert	p 3: t
encode	e n ' k @} d
swagger	' s w { g @
checkout	' tS e k {O t
aspirin	' { s p r\ @ n
Ben	b e n
freestyle	' f r\ i: s t Ae l
curriculum	k @ ' r\ I k j @ l @ m
N/A	e n ' {I
downtown	d {O n t {O n
uppermost	' 6 p @ m @} s t
tandem	' t { n d @ m
rigid	' r\ I dZ @ d
realty	' r\ i: @ l t i:
olive	' O l I v
orator	' O r\ @ t @
effort	' e f @ t
off-colour	O f ' k 6 l @
fly	f l Ae
demolish	d @ ' m O l I S
thermos	' T 3: m O s
melodrama	' m e l @ d r\ 6: m @
flu	f l }:
soul	s @} l
soup	s }: p
ripcord	' r\ I p k o: d
sour	' s {O @
armhole	' 6: m h @} l
arrive	@ ' r\ Ae v
deceased	d @ ' s i: s t
claim	k l {I m
crazy	' k r\ {I z i:
predict	p r\ @ ' d I k t
fuck	f 6 k
agent	' {I dZ @ n t
sample	' s { m p @ l
drawer	d r\ o:
disbelieve	d I s b @ ' l i: v
council	' k {O n s @ l
Dutch	d 6 tS
craze	k r\ {I z
pink	p I N k
purr	p 3:
nonchalant	' n O n S @ l @ n t
tilt	t I l t
pine	p Ae n
chemical	' k e m I k @ l
till	t I l
pure	' p j }: @
swore	s w o:
tatters	' t { t @ z
sworn	s w o: n
testicle	' t e s t I k @ l
map	m { p
mat	m { t
may	m {I
grog	g r\ O g
pin-up	' p I n 6 p
overarm	' @} v @ r\ 6: m
mad	m { d
tablecloth	' t {I b @ l k l O T
grow	g r\ @}
jellyfish	' dZ e l i: f I S
close-up	' k l @} s 6 p
aimless	' {I m l @ s
noun	n {O n
neck	n e k
maybe	' m {I b i:
fluent	' f l }: @ n t
provide	p r\ @ ' v Ae d
switch	s w I tS
workload	' w 3: k l @} d
jail	dZ {I l
deposit	d @ ' p O z @ t
deceive	d @ ' s i: v
verify	' v e r\ @ f Ae
basket	' b 6: s k @ t
tall	t o: l
bungle	' b 6 N g @ l
gesture	' dZ e s tS @
bushwalk	' b U S w o: k
shield	S i: l d
gradual	' g r\ { dZ }: @ l
pillowcase	' p I l @} k {I s
terrace	' t e r\ @ s
pitch	p I tS
equip	@ ' k w I p
grout	g r\ {O t
adhesive	@ d ' h i: s I v
conjunction	k @ n ' dZ 6 N k S @ n
group	g r\ }: p
monitor	' m O n @ t @
interesting	' I n t r\ @ s t I N
hat-trick	' h { t t r\ I k
maim	m {I m
mail	m {I l
main	m {I n
wallpaper	' w o: l p {I p @
tonic	' t O n I k
finance	' f Ae n { n s
shatter	' S { t @
lunch	l 6 n tS
safari	s @ ' f 6: r\ i:
nonfiction	n O n ' f I k S @ n
spasmodic	s p { z ' m O d I k
bullshit	' b U l S I t
teller	' t e l @
possess	p @ ' z e s
bludge	b l 6 dZ
taut	t o: t
fudge	f 6 dZ
peasant	' p e z @ n t
careless	' k e: l @ s
rock	r\ O k
hijack	' h Ae dZ { k
vogue	v @} g
eyelid	' Ae l I d
dialect	' d Ae @ l e k t
bitumen	' b I tS @ m @ n
abnormal	{ b ' n o: m @ l
manifesto	m { n @ ' f e s t @}
girl	g 3: l
summary	' s 6 m @ r\ i:
living	' l I v I N
stitch	s t I tS
imperative	I m ' p e r\ @ t I v
blubber	' b l 6 b @
dominate	' d O m @ n {I t
correct	k @ ' r\ e k t
assurance	@ ' S o: r\ @ n s
lag	l { g
monster	' m O n s t @
G	dZ i:
hefty	' h e f t i:
smudge	s m 6 dZ
lump	l 6 m p
ajar	@ ' dZ 6:
cough	k O f
advance	@ d ' v { n s
underwear	' 6 n d @ w e:
language	' l { N g w I dZ
waiter	' w {I t @
thing	T I N
blacksmith	' b l { k s m I T
think	T I N k
frequent	' f r\ i: k w @ n t
lay	l {I
exotic	@ g ' z O t I k
cheese	tS i: z
Sharon	S { r\ @ n
question	' k w e s tS @ n
crib	k r\ I b
long	l O N
carry	' k { r\ i:
little	' l I t @ l
thoughtless	' T o: t l @ s
lap	l { p
anyone	' e n i: w 6 n
fiery	' f Ae @ r\ i:
daunt	d o: n t
mermaid	' m 3: m {I d
bloodshed	' b l 6 d S e d
gaudy	' g o: d i:
memo	' m e m @}
continuous	k @ n ' t I n j }: @ s
crevice	' k r\ e v @ s
bookmaker	' b U k m {I k @
osteopath	' O s t i: @ p { T
butt	b 6 t
austere	O s ' t I@
singsong	' s I N s O N
conceivable	k @ n ' s i: v @ b @ l
infiltrate	' I n f @ l t r\ {I t
set-up	' s e t 6 p
relative	' r\ e l @ t I v
orgy	' o: dZ i:
fertilisation	f 3: t @ l Ae ' z {I S @ n
centigrade	' s e n t @ g r\ {I d
were	w 3:
gigantic	dZ Ae ' g { n t I k
tractor	' t r\ { k t @
lullaby	' l 6 l @ b Ae
lick	l I k
dollop	' d O l @ p
stubby	' s t 6 b i:
lice	l Ae s
dash	d { S
conspiracy	k @ n ' s p I r\ @ s i:
pastry	' p {I s t r\ i:
spectacle	' s p e k t @ k @ l
occupied	' O k j @ p Ae d
heared	h I@ d
clung	k l 6 N
castor	' k 6: s t @
efficient	@ ' f I S @ n t
isolate	' Ae s @ l {I t
potential	p @ ' t e n S @ l
interior	I n ' t I@ r\ i: @
haste	h {I s t
Dr	' d O k t @
channel	' tS { n @ l
ultimate	' 6 l t @ m @ t
bets	b e t s
frost	f r\ O s t
amiable	' {I m i: @ b @ l
theatre	' T I@ t @
normal	' n o: m @ l
track	t r\ { k
incidence	' I n s @ d @ n s
paid	p {I d
assault	@ ' s O l t
barrage	' b { r\ 6: Z
billow	' b I l @}
pair	p e:
conspicuous	k @ n ' s p I k j }: @ s
radioactive	r\ {I d i: @} ' { k t I v
especially	@ ' s p e S @ l i:
napkin	' n { p k @ n
bustard	' b 6 s t @ d
participle	' p 6: t @ s I p @ l
deportment	d @ ' p o: t m @ n t
scowl	s k {O l
voodoo	v }: d }:
precise	p r\ @ ' s Ae s
shot	S O t
reef	r\ i: f
WA	w e s t @ n @ ' s t r\ {I l j @
show	S @}
contemporary	k @ n ' t e m p @ r\ i:
veranda	v @ ' r\ { n d @
elevate	' e l @ v {I t
shoe	S }:
threshold	' T r\ e S h @} l d
corner	' k o: n @
label	' l {I b @ l
fend	f e n d
flapjack	' f l { p dZ { k
dice	d Ae s
dick	d I k
enough	@ ' n 6 f
manoeuvre	m @ ' n }: v @
black	b l { k
hectare	' h e k t e:
enthusiasm	e n ' T }: z i: { z @ m
plump	p l 6 m p
get	g e t
hostage	' h O s t I dZ
midriff	' m I d r\ I f
nearly	' n I@ l i:
gibber	' dZ I b @
Thai	t Ae
gem	dZ e m
gel	dZ e l
median	' m i: d i: @ n
yield	j i: l d
morning	' m o: n I N
stupid	' s t j }: p @ d
ruddy	' r\ 6 d i:
nostril	' n O s t r\ @ l
kernel	' k 3: n @ l
thesis	' T i: s @ s
zigzag	' z I g z { g
eighteenth	{I ' t i: n T
seat	s i: t
cologne	k @ ' l @} n
sludge	s l 6 dZ
seam	s i: m
seal	s i: l
stigma	' s t I g m @
calendar	' k { l @ n d @
wonder	' w 6 n d @
parent	' p e: r\ @ n t
steadfast	' s t e d f 6: s t
bushranger	' b U S r\ {I n dZ @
ornament	' o: n @ m @ n t
forecast	' f o: k 6: s t
whereabouts	' w e: r\ @ b {O t s
behind	b @ ' h Ae n d
across	@ ' k r\ O s
august	o: ' g 6 s t
foreword	' f o: w 3: d
tacit	' t { s @ t
killing	' k I l I N
bedraggled	b @ ' d r\ { g @ l d
tug	t 6 g
z	z e d
rugby	' r\ 6 g b i:
tuck	t 6 k
dedicate	' d e d @ k {I t
sketchy	' s k e tS i:
jovial	' dZ @} v i: @ l
dated	' d {I t @ d
franchise	' f r\ { n tS Ae z
nonentity	n O n ' e n t @ t i:
among	@ ' m 6 N
cancer	' k { n s @
terse	t 3: s
spank	s p { N k
possessive	p @ ' z e s I v
stretched	s t r\ e tS t
cancel	' k { n s @ l
tinkle	' t I N k @ l
custody	' k 6 s t @ d i:
mare	m e:
intrude	I n ' t r\ }: d
caricature	' k { r\ @ k @ tS U @
capable	' k {I p @ b @ l
wobble	' w O b @ l
certify	' s 3: t @ f Ae
mark	m 6: k
workshop	' w 3: k S O p
acre	' {I k @
graveyard	' g r\ {I v j 6: d
measles	' m i: z @ l z
squash	s k w O S
dramatic	d r\ @ ' m { t I k
wake	w {I k
overdose	' @} v @ d @} s
captivity	k { p ' t I v @ t i:
sound	s {O n d
predicament	p r\ @ ' d I k @ m @ n t
litterbug	' l I t @ b 6 g
invigorate	I n ' v I g @ r\ {I t
compile	k @ m ' p Ae l
ignition	I g ' n I S @ n
forefinger	' f o: f I N g @
stepfather	' s t e p f 6: D @
cock	k O k
bathe	b {I D
eventually	@ ' v e n tS @ l i:
secondary	' s e k @ n d r\ i:
them	D e m
cluster	' k l 6 s t @
sudden	' s 6 d @ n
baths	b 6: D z
protein	' p r\ @} t i: n
macadamia	m { k @ ' d {I m i: @
receptacle	r\ @ ' s e p t @ k @ l
everyday	' e v r\ i: d {I
different	' d I f r\ @ n t
synagogue	' s I n @ g O g
pat	p { t
harsh	h 6: S
doctor	' d O k t @
pay	p {I
tour	t U @
same	s {I m
heartbreak	' h 6: t b r\ {I k
pad	p { d
aerobics	e: ' r\ @} b I k s
clammy	' k l { m i:
pal	p { l
pan	p { n
spring-clean	s p r\ I N ' k l i: n
exhaust	@ g ' z o: s t
oil	oI l
billabong	' b I l @ b O N
assist	@ ' s I s t
munch	m 6 n tS
hullo	' h 6 l @}
companion	k @ m ' p { n j @ n
diversion	d @ ' v 3: Z @ n
weave	w i: v
drain	d r\ {I n
intermittent	I n t @ ' m I t @ n t
walkover	' w o: k @} v @
vertebra	' v 3: t @ b r\ @
accountable	@ ' k {O n t @ b @ l
bowser	' b {O z @
bottle	' b O t @ l
parody	' p { r\ @ d i:
alfalfa	{ l f { l f @
diffident	' d I f @ d @ n t
they	D {I
fume	f j }: m
yonks	j O N k s
reputable	' r\ e p j @ t @ b @ l
aspect	' { s p e k t
alimony	{ l @ m @ n i:
sprang	s p r\ { N
asthma	' { s m @
tourism	' t U @ r\ I z @ m
meteorite	' m i: t i: @ r\ Ae t
pile	p Ae l
grating	' g r\ {I t I N
extensive	@ k ' s t e n s I v
pill	p I l
grip	g r\ I p
grit	g r\ I t
presentable	p r\ @ ' z e n t @ b @ l
mop	m O p
mow	m @}
forge	f o: dZ
chainsaw	' tS {I n s o:
grid	g r\ I d
mob	m O b
implicate	' I m p l @ k {I t
grim	g r\ I m
grin	g r\ I n
oxygen	' O k s @ dZ @ n
indisputable	I n d @ s ' p j }: t @ b @ l
lightning	' l Ae t n I N
chamber	' tS {I m b @
audience	' o: d i: @ n s
either	' Ae D @
robbery	' r\ O b @ r\ i:
groomsman	' g r\ }: m z m @ n
fulfil	f U l ' f I l
VDU	v i: d i: ' j }:
doll	d O l
ascend	@ ' s e n d
dole	d @} l
erase	@ ' r\ {I z
pasture	' p 6: s tS @
ascent	@ ' s e n t
accomplice	@ ' k 6 m p l @ s
spasm	' s p { z @ m
explode	@ k ' s p l @} d
genetics	dZ @ ' n e t I k s
confirm	k @ n ' f 3: m
Mel	m e l
lotto	' l O t @}
pioneer	p Ae @ ' n I@
critical	' k r\ I t I k @ l
lunar	' l }: n @
claustrophobia	k l O s t r\ @ ' f @} b i: @
decentralise	d i: ' s e n t r\ @ l Ae z
highbrow	' h Ae b r\ {O
linoleum	l @ ' n @} l i: @ m
intravenous	I n t r\ @ ' v i: n @ s
knife	n Ae f
sensible	' s e n s @ b @ l
seconds	s e k @ n d z
fitness	' f I t n @ s
notable	' n @} t @ b @ l
broker	' b r\ @} k @
broken	' b r\ @} k @ n
despicable	d @ ' s p I k @ b @ l
resign	r\ @ ' z Ae n
finicky	' f I n @ k i:
giggle	' g I g @ l
preoccupied	p r\ i: ' O k j @ p Ae d
son-in-law	' s 6 n I n l o:
aircon	' e: k O n
chirp	tS 3: p
roar	r\ o:
island	' Ae l @ n d
fringe	f r\ I n dZ
thrive	T r\ Ae v
practical	' p r\ { k t I k @ l
airline	' e: l Ae n
knave	n {I v
roam	r\ @} m
provisional	p r\ @ ' v I Z @ n @ l
road	r\ @} d
fallacy	' f { l @ s i:
dagger	' d { g @
coupon	' k }: p O n
point-blank	p oI n t ' b l { N k
hanger	' h { N @
strip	s t r\ I p
paraphernalia	p { r\ @ f @ ' n {I l j @
jigsaw	' dZ I g s o:
totalitarian	t @} t { l @ ' t e: r\ i: @ n
brute	b r\ }: t
restrained	r\ @ ' s t r\ {I n d
decode	d i: ' k @} d
fanatic	f @ ' n { t I k
sophisticated	s @ ' f I s t @ k {I t @ d
hiccup	' h I k 6 p
defoliate	d @ ' f @} l i: {I t
vocalist	' v @} k @ l @ s t
belated	b @ ' l {I t @ d
spice	s p Ae s
peckish	' p e k I S
flamboyant	f l { m ' b oI @ n t
annihilate	@ ' n Ae @ l {I t
grudging	' g r\ 6 dZ I N
poison	' p oI z @ n
Macedonian	m { s @ ' d @} n i: @ n
suitcase	' s }: t k {I s
grouch	g r\ {O tS
Ave	' { v @ n j }:
deadlock	' d e d l O k
affection	@ ' f e k S @ n
palate	p { l @ t
shack	S { k
geriatric	dZ e r\ i: ' { t r\ I k
dinkum	' d I N k @ m
deer	d I@
deep	d i: p
general	' dZ e n r\ @ l
imagination	@ m { dZ @ ' n {I S @ n
examine	@ g ' z { m @ n
file	f Ae l
girlfriend	' g 3: l f r\ e n d
lifetime	' l Ae f t Ae m
deed	d i: d
hound	h {O n d
casualty	' k { Z }: @ l t i:
fill	f I l
tedious	' t i: d i: @ s
again	@ ' g e n
personnel	p 3: s @ ' n e l
hybrid	' h Ae b r\ @ d
repent	r\ @ ' p e n t
